UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2019,1,24,Kingdom of ash / Sarah J. Maas.,,"Maas, Sarah J.","Queens Fiction, Assassins Fiction, Magic Fiction, Imaginary places Fiction, Imaginary wars and battles Fiction, Young adult fiction, Fantasy fiction","Bloomsbury,",2018.
Digital,OverDrive,EBOOK,2019,1,29,Tower of Dawn,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2017
Digital,OverDrive,EBOOK,2019,1,2,The Assassin and the Empire: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2012
Digital,OverDrive,AUDIOBOOK,2019,1,7,"A Court of Thorns and Roses: A Court of Thorns and Roses Series, Book 1 (unabridged) (Unabridged)",,Sarah J. Maas,Young Adult Fiction,"Recorded Books, LLC",2018
Physical,Horizon,BOOK,2019,1,9,The assassin's blade : the Throne of glass novellas / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Fantasy","Bloomsbury,",2014.
Digital,OverDrive,EBOOK,2019,1,3,The Assassin and the Desert: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,1,9,Tower of dawn / Sarah J. Maas.,,"Maas, Sarah J.","Queens Juvenile fiction, Assassins Juvenile fiction, Magic Juvenile fiction, Fantasy, Kings queens rulers etc Fiction, Love Fiction, Romance fiction, Fantasy fiction, Fantasy fiction","Bloomsbury Children's Books,",2017.
Digital,OverDrive,EBOOK,2019,1,37,A Court of Frost and Starlight,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
Physical,Horizon,BOOK,2019,1,9,Throne of glass / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Princes Juvenile fiction, Courts and courtiers Juvenile fiction, Prisoners Juvenile fiction, Fantasy","Bloomsbury,",2012.
Digital,OverDrive,EBOOK,2019,1,22,Kingdom of Ash,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
Physical,Horizon,BOOK,2019,1,1,Crown of midnight / Sarah J. Maas.,,"Maas, Sarah J.","Fantasy, Assassins Juvenile fiction, Kings queens rulers etc Fiction, Courts and courtiers Juvenile fiction, Love Fiction, Young adult fiction","Bloomsbury,",©2013.
Digital,OverDrive,EBOOK,2019,1,11,Catwoman: Soulstealer,,Sarah J. Maas,"Comic and Graphic Books, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2018
Digital,OverDrive,EBOOK,2019,1,4,The Assassin and the Underworld: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,1,7,Heir of fire / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Kings and rulers Juvenile fiction, Courts and courtiers Juvenile fiction, Fairies Juvenile fiction, Ability Juvenile fiction, Young adult fiction, Fantasy fiction","Bloomsbury,",2014.
Digital,OverDrive,EBOOK,2019,1,28,A Court of Thorns and Roses,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2015
Digital,OverDrive,EBOOK,2019,1,22,Heir of Fire,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2014
Physical,Horizon,BOOK,2019,1,14,A court of thorns and roses / Sarah J. Maas.,,"Maas, Sarah J.","Fairies Juvenile fiction, Blessing and cursing Juvenile fiction, Captivity Juvenile fiction, Magic Juvenile fiction, Imaginary places Juvenile fiction, Tam Lin Legendary character Adaptations Juvenile fiction, Young adult fiction","Bloomsbury,",2015.
Physical,Horizon,BOOK,2019,1,7,Empire of storms / Sarah J. Maas.,,"Maas, Sarah J.","Queens Juvenile fiction, Assassins Juvenile fiction, Magic Juvenile fiction, Young adult fiction, Romance fiction, Fantasy fiction","Bloomsbury,",[2016]
Physical,Horizon,BOOK,2019,1,9,Queen of shadows / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Identity Psychology Juvenile fiction, Fantasy fiction, Young adult fiction","Bloomsbury,",2015.
Digital,OverDrive,EBOOK,2019,1,12,The Assassin's Blade: The Throne of Glass Novellas,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2014
Digital,OverDrive,EBOOK,2019,1,36,Throne of Glass,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2012
Digital,OverDrive,EBOOK,2019,1,16,Crown of Midnight,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,2,15,A court of thorns and roses / Sarah J. Maas.,,"Maas, Sarah J.","Fairies Juvenile fiction, Blessing and cursing Juvenile fiction, Captivity Juvenile fiction, Magic Juvenile fiction, Imaginary places Juvenile fiction, Tam Lin Legendary character Adaptations Juvenile fiction, Young adult fiction","Bloomsbury,",2015.
Digital,OverDrive,EBOOK,2019,2,4,The Assassin and the Desert: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,2,2,Catwoman : Soulstealer / Sarah J. Maas.,,"Maas, Sarah J.","Catwoman Fictitious character Juvenile fiction, Catwoman Fictitious character Fiction, Superheroes Juvenile fiction, Women superheroes Juvenile fiction, Comic strip characters Juvenile fiction, Catwoman Fictitious character Fiction, Criminals Fiction, Coming of age Fiction, Young adult fiction","Random House,",[2018]
Digital,OverDrive,EBOOK,2019,2,25,Tower of Dawn,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2017
Physical,Horizon,BOOK,2019,2,6,The assassin's blade : the Throne of glass novellas / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Fantasy","Bloomsbury,",2014.
Physical,Horizon,BOOK,2019,2,3,Queen of shadows / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Identity Psychology Juvenile fiction, Fantasy fiction, Young adult fiction","Bloomsbury,",2015.
Digital,OverDrive,EBOOK,2019,2,26,A Court of Thorns and Roses,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2015
Digital,OverDrive,EBOOK,2019,2,34,A Court of Frost and Starlight,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
Digital,OverDrive,EBOOK,2019,2,2,The Assassin and the Pirate Lord: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,2,12,A court of frost and starlight / Sarah J. Maas.,,"Maas, Sarah J.","Imaginary wars and battles Juvenile fiction, Courts and courtiers Juvenile fiction, Fairies Juvenile fiction, Winter solstice Juvenile fiction, Fantasy fiction, Young adult fiction","Bloomsbury,",2018.
Digital,OverDrive,EBOOK,2019,2,9,The Assassin's Blade: The Throne of Glass Novellas,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2014
Digital,OverDrive,EBOOK,2019,2,28,Empire of Storms,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2016
Digital,OverDrive,EBOOK,2019,2,13,Heir of Fire,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2014
Physical,Horizon,BOOK,2019,2,13,Kingdom of ash / Sarah J. Maas.,,"Maas, Sarah J.","Queens Fiction, Assassins Fiction, Magic Fiction, Imaginary places Fiction, Imaginary wars and battles Fiction, Young adult fiction, Fantasy fiction","Bloomsbury,",2018.
Physical,Horizon,BOOK,2019,2,11,A court of mist and fury / Sarah J. Maas.,,"Maas, Sarah J.","Fairies Juvenile fiction, Imaginary places Juvenile fiction, Young adult fiction","Bloomsbury,",2016.
Digital,OverDrive,EBOOK,2019,2,24,A Court of Mist and Fury,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2016
Physical,Horizon,BOOK,2019,2,4,Heir of fire / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Kings and rulers Juvenile fiction, Courts and courtiers Juvenile fiction, Fairies Juvenile fiction, Ability Juvenile fiction, Young adult fiction, Fantasy fiction","Bloomsbury,",2014.
Physical,Horizon,BOOK,2019,2,1,Crown of midnight / Sarah J. Maas.,,"Maas, Sarah J.","Fantasy, Assassins Juvenile fiction, Kings queens rulers etc Fiction, Courts and courtiers Juvenile fiction, Love Fiction, Young adult fiction","Bloomsbury,",©2013.
Physical,Horizon,SOUNDDISC,2019,2,1,Throne of glass / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Fiction, Princes Fiction, Courts and courtiers Fiction, Prisoners Fiction, Audiobooks","Brilliance Audio,",[2013]
Digital,OverDrive,EBOOK,2019,2,19,Kingdom of Ash,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
Physical,Horizon,BOOK,2019,2,5,Crown of midnight / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Fiction, Kings and rulers Fiction, Courts and courtiers Fiction, Fantasy, Young adult fiction, Fantasy fiction","Bloomsbury,","2014, ©2013."
Physical,Horizon,BOOK,2019,2,5,Tower of dawn / Sarah J. Maas.,,"Maas, Sarah J.","Queens Juvenile fiction, Assassins Juvenile fiction, Magic Juvenile fiction, Fantasy, Kings queens rulers etc Fiction, Love Fiction, Romance fiction, Fantasy fiction, Fantasy fiction","Bloomsbury Children's Books,",2017.
Digital,OverDrive,AUDIOBOOK,2019,2,10,"A Court of Thorns and Roses: A Court of Thorns and Roses Series, Book 1 (unabridged) (Unabridged)",,Sarah J. Maas,Young Adult Fiction,"Recorded Books, LLC",2018
Physical,Horizon,BOOK,2019,2,9,Empire of storms / Sarah J. Maas.,,"Maas, Sarah J.","Queens Juvenile fiction, Assassins Juvenile fiction, Magic Juvenile fiction, Young adult fiction, Romance fiction, Fantasy fiction","Bloomsbury,",[2016]
Digital,OverDrive,EBOOK,2019,2,35,Throne of Glass,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2012
Digital,OverDrive,EBOOK,2019,2,17,Crown of Midnight,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,2,9,A court of wings and ruin / Sarah J. Maas.,,"Maas, Sarah J.","Fairy tales, Women spies Fiction, Young adult fiction, Fantasy fiction, War fiction, Spy fiction","Bloomsbury Publishing USA,",2017.
Digital,OverDrive,EBOOK,2019,2,5,The Assassin and the Underworld: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Digital,OverDrive,EBOOK,2019,2,19,Queen of Shadows,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2015
Digital,OverDrive,EBOOK,2019,2,29,A Court of Wings and Ruin,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2017
Digital,OverDrive,EBOOK,2019,2,6,The Assassin and the Empire: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2012
Digital,OverDrive,EBOOK,2019,2,9,Catwoman: Soulstealer,,Sarah J. Maas,"Comic and Graphic Books, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2018
Physical,Horizon,BOOK,2019,2,10,Throne of glass / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Princes Juvenile fiction, Courts and courtiers Juvenile fiction, Prisoners Juvenile fiction, Fantasy","Bloomsbury,",2012.
Digital,OverDrive,EBOOK,2019,3,28,"A Court of Mist and Fury: A Court of Thorns and Roses Series, Book 2",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2016
Digital,OverDrive,EBOOK,2019,3,26,"Kingdom of Ash: Throne of Glass Series, Book 7",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
Physical,Horizon,BOOK,2019,3,6,Crown of midnight / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Fiction, Kings and rulers Fiction, Courts and courtiers Fiction, Fantasy, Young adult fiction, Fantasy fiction","Bloomsbury,","2014, ©2013."
Physical,Horizon,BOOK,2019,3,9,A court of thorns and roses / Sarah J. Maas.,,"Maas, Sarah J.","Fairies Juvenile fiction, Blessing and cursing Juvenile fiction, Captivity Juvenile fiction, Magic Juvenile fiction, Imaginary places Juvenile fiction, Tam Lin Legendary character Adaptations Juvenile fiction, Young adult fiction","Bloomsbury,",2015.
Physical,Horizon,BOOK,2019,3,20,Kingdom of ash / Sarah J. Maas.,,"Maas, Sarah J.","Queens Fiction, Assassins Fiction, Magic Fiction, Imaginary places Fiction, Imaginary wars and battles Fiction, Young adult fiction, Fantasy fiction","Bloomsbury,",2018.
Physical,Horizon,BOOK,2019,3,11,Queen of shadows / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Identity Psychology Juvenile fiction, Fantasy fiction, Young adult fiction","Bloomsbury,",2015.
Digital,OverDrive,EBOOK,2019,3,22,"Queen of Shadows: Throne of Glass Series, Book 4",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2015
Digital,OverDrive,EBOOK,2019,3,31,"A Court of Wings and Ruin: A Court of Thorns and Roses Series, Book 3",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2017
Digital,OverDrive,EBOOK,2019,3,10,Catwoman: Soulstealer,,Sarah J. Maas,"Comic and Graphic Books, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2018
Digital,OverDrive,EBOOK,2019,3,34,"A Court of Frost and Starlight: A Court of Thorns and Roses Series, Book 3.1",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
Physical,Horizon,BOOK,2019,3,9,A court of wings and ruin / Sarah J. Maas.,,"Maas, Sarah J.","Fairy tales, Women spies Fiction, Young adult fiction, Fantasy fiction, War fiction, Spy fiction","Bloomsbury Publishing USA,",2017.
Digital,OverDrive,EBOOK,2019,3,4,"The Assassin and the Desert: Throne of Glass Series, Book 0.3",,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,3,2,Crown of midnight / Sarah J. Maas.,,"Maas, Sarah J.","Fantasy, Assassins Juvenile fiction, Kings queens rulers etc Fiction, Courts and courtiers Juvenile fiction, Love Fiction, Young adult fiction","Bloomsbury,",©2013.
Digital,OverDrive,EBOOK,2019,3,32,"A Court of Thorns and Roses: A Court of Thorns and Roses Series, Book 1",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2015
Digital,OverDrive,AUDIOBOOK,2019,3,11,"A Court of Thorns and Roses: A Court of Thorns and Roses Series, Book 1 (unabridged) (Unabridged)",,Sarah J. Maas,Young Adult Fiction,"Recorded Books, LLC",2018
